bank_task_code;domain;pattern;group;subgroup;difficulty;source;title;task_description;solution_outline;common_mistakes;loaded_to_db_at
BANK_SQL_033;sql;relational_division;SQL Core;Joins;3;AI;Магазины, продающие все товары конкурента;Таблицы: shop_products (shop_id, product_id), competitor_products (product_id). Найди магазины, в которых есть ВСЕ товары из competitor_products. Выведи: shop_id, количество таких товаров, общее количество товаров в магазине.;SELECT sp.shop_id, COUNT(DISTINCT sp.product_id) AS competitor_items, (SELECT COUNT(*) FROM shop_products WHERE shop_id = sp.shop_id) AS total_items FROM shop_products sp WHERE sp.product_id IN (SELECT product_id FROM competitor_products) GROUP BY sp.shop_id HAVING COUNT(DISTINCT sp.product_id) = (SELECT COUNT(*) FROM competitor_products);"Не проверяют что конкурент может иметь 0 товаров; путают COUNT(DISTINCT) с COUNT(*); забывают про подзапрос для total_items";2026-07-16 00:00:00
BANK_SQL_034;sql;join;SQL Core;Joins;1;AI;Заказы с именами клиентов;Таблицы: customers (customer_id, name, city), orders (order_id, customer_id, order_date, amount). Выведи все заказы с именем клиента и городом. Столбцы: order_id, order_date, amount, customer_name, city. Отсортируй по order_date.;SELECT o.order_id, o.order_date, o.amount, c.name AS customer_name, c.city FROM orders o JOIN customers c ON o.customer_id = c.customer_id ORDER BY o.order_date;"Используют LEFT JOIN без необходимости; забывают условие JOIN; путают порядок таблиц";2026-07-16 00:00:00
BANK_SQL_035;sql;join;SQL Core;Joins;2;AI;Все клиенты и их заказы за месяц;Таблицы: customers (customer_id, name), orders (order_id, customer_id, order_date, amount). Выведи ВСЕХ клиентов и их заказы за март 2024. Для клиентов без заказов выведи order_id = NULL, amount = NULL. Столбцы: customer_id, name, order_id, order_date, amount.;SELECT c.customer_id, c.name, o.order_id, o.order_date, o.amount FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id AND o.order_date BETWEEN '2024-03-01' AND '2024-03-31' ORDER BY c.customer_id, o.order_date;"Ставят условие по дате в WHERE вместо ON (превращает LEFT в INNER); забывают что фильтр в WHERE убирает NULL";2026-07-16 00:00:00
BANK_SQL_036;sql;join;SQL Core;Joins;3;AI;Заказы с товарами и категориями;Таблицы: orders (order_id, customer_id, order_date), order_items (item_id, order_id, product_id, quantity, price), products (product_id, product_name, category_id), categories (category_id, category_name). Для каждого заказа выведи: order_id, order_date, общее количество товаров (total_items), общую сумму (total_amount), количество уникальных категорий (unique_categories).;SELECT o.order_id, o.order_date, SUM(oi.quantity) AS total_items, SUM(oi.quantity * oi.price) AS total_amount, COUNT(DISTINCT p.category_id) AS unique_categories FROM orders o JOIN order_items oi ON o.order_id = oi.order_id JOIN products p ON oi.product_id = p.product_id GROUP BY o.order_id, o.order_date ORDER BY o.order_date;"Забывают DISTINCT в COUNT категорий; неправильно считают сумму (забывают умножить на quantity); не включают все нужные JOIN";2026-07-16 00:00:00
BANK_SQL_037;sql;self_join;SQL Core;Joins;1;AI;Руководитель каждого сотрудника;Таблица: employees (emp_id, name, manager_id). manager_id ссылается на emp_id руководителя. Для каждого сотрудника выведи его имя и имя его руководителя. Для CEO (manager_id IS NULL) выведи NULL в имени руководителя.;SELECT e.emp_id, e.name AS employee_name, m.name AS manager_name FROM employees e LEFT JOIN employees m ON e.manager_id = m.emp_id ORDER BY e.emp_id;"Используют INNER JOIN и теряют CEO; путают e.manager_id = m.emp_id; забывают алиасы";2026-07-16 00:00:00
BANK_SQL_038;sql;self_join;SQL Core;Joins;2;AI;Последовательные заказы одного клиента;Таблица: orders (order_id, customer_id, order_date, amount). Для каждого заказа найди дату предыдущего заказа того же клиента и разницу в днях. Выведи: order_id, customer_id, order_date, prev_order_date, days_since_prev.;SELECT o1.order_id, o1.customer_id, o1.order_date, o2.order_date AS prev_order_date, o1.order_date - o2.order_date AS days_since_prev FROM orders o1 LEFT JOIN orders o2 ON o1.customer_id = o2.customer_id AND o2.order_date = (SELECT MAX(order_date) FROM orders WHERE customer_id = o1.customer_id AND order_date < o1.order_date) ORDER BY o1.customer_id, o1.order_date;Используют o2.order_date < o1.order_date без подзапроса и получают все предыдущие, а не последний предыдущий;2026-07-16 00:00:00
BANK_SQL_039;sql;self_join;SQL Core;Joins;3;AI;Пары клиентов с одинаковыми заказами;Таблица: orders (order_id, customer_id, product_id). Найди все пары разных клиентов, которые заказали один и тот же набор товаров (полное совпадение). Выведи: customer_1, customer_2, common_products (количество общих товаров).;WITH customer_products AS (SELECT customer_id, ARRAY_AGG(DISTINCT product_id ORDER BY product_id) AS products FROM orders GROUP BY customer_id) SELECT cp1.customer_id, cp2.customer_id, ARRAY_LENGTH(cp1.products, 1) AS common_products FROM customer_products cp1 JOIN customer_products cp2 ON cp1.products = cp2.products AND cp1.customer_id < cp2.customer_id ORDER BY cp1.customer_id;"Сравнивают клиентов через COUNT без проверки полного совпадения; не используют ARRAY_AGG с ORDER BY";2026-07-16 00:00:00
BANK_SQL_040;sql;null_vs_empty_result;SQL Core;NULL Handling;1;AI;Замена NULL на 0 в сумме заказов;Таблица: customers (customer_id, name). Таблица: orders (order_id, customer_id, amount). Для каждого клиента выведи customer_id, name и total_amount (сумма заказов). Если заказов нет — выведи 0.;SELECT c.customer_id, c.name, COALESCE(SUM(o.amount), 0) AS total_amount FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id, c.name ORDER BY c.customer_id;"Используют SUM без COALESCE и получают NULL; забывают LEFT JOIN";2026-07-16 00:00:00
BANK_SQL_041;sql;null_vs_empty_result;SQL Core;NULL Handling;2;AI;Клиенты с суммой 0 вместо пустого результата;"Таблица: customers (customer_id, name), orders (order_id, customer_id, amount). Выведи всех клиентов, у которых сумма заказов равна 0. Если таких нет — выведи одну строку с сообщением ""Все клиенты имеют заказы"".";SELECT c.customer_id, c.name, 0 AS total_amount FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id, c.name HAVING SUM(o.amount) IS NULL UNION ALL SELECT NULL, 'Все клиенты имеют заказы', NULL WHERE NOT EXISTS (SELECT 1 FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id HAVING SUM(o.amount) IS NULL);"Не учитывают что UNION ALL требует одинаковых типов; забывают про WHERE NOT EXISTS; путают NULL и 0";2026-07-16 00:00:00
BANK_SQL_042;sql;null_vs_empty_result;SQL Core;NULL Handling;3;AI;Отдел без сотрудников с default-значениями;Таблицы: departments (dept_id, dept_name), employees (emp_id, name, dept_id, salary). Выведи все отделы. Для каждого: количество сотрудников, среднюю зарплату (NULL → 'Нет данных'), минимальную зарплату (NULL → 'Нет данных'). Если отдел пуст — средняя и минимальная текст, количество = 0.;SELECT d.dept_id, d.dept_name, COUNT(e.emp_id) AS emp_count, COALESCE(ROUND(AVG(e.salary), 2)::TEXT, 'Нет данных') AS avg_salary, COALESCE(MIN(e.salary)::TEXT, 'Нет данных') AS min_salary FROM departments d LEFT JOIN employees e ON d.dept_id = e.dept_id GROUP BY d.dept_id, d.dept_name ORDER BY d.dept_id;"Путают типы данных (число и текст в COALESCE); используют CAST неправильно; забывают что COUNT агрегирует сотрудников а не отделы";2026-07-16 00:00:00
BANK_SQL_043;sql;exists;SQL Core;Subqueries / CTE;1;AI;Клиенты, у которых есть заказы;Таблицы: customers (customer_id, name), orders (order_id, customer_id, order_date). Найди всех клиентов, у которых есть хотя бы один заказ. Выведи customer_id, name. Используй EXISTS.;SELECT c.customer_id, c.name FROM customers c WHERE EXISTS (SELECT 1 FROM orders o WHERE o.customer_id = c.customer_id) ORDER BY c.customer_id;"Используют INNER JOIN с DISTINCT; забывают условие связи в подзапросе; пишут WHERE EXISTS без корреляции";2026-07-16 00:00:00
BANK_SQL_044;sql;exists;SQL Core;Subqueries / CTE;2;AI;Товары без продаж за последний месяц;Таблицы: products (product_id, product_name), sales (sale_id, product_id, sale_date, quantity). Найди товары, которые не продавались последние 30 дней. Выведи product_id, product_name. Используй NOT EXISTS.;SELECT p.product_id, p.product_name FROM products p WHERE NOT EXISTS (SELECT 1 FROM sales s WHERE s.product_id = p.product_id AND s.sale_date >= CURRENT_DATE - INTERVAL '30 days') ORDER BY p.product_id;"Используют NOT IN (опасно с NULL); забывают условие по дате в подзапросе";2026-07-16 00:00:00
BANK_SQL_045;sql;exists;SQL Core;Subqueries / CTE;3;AI;Клиенты с заказами во всех категориях;Таблицы: customers (customer_id, name), orders (order_id, customer_id, order_date), order_items (order_id, product_id), products (product_id, category_id), categories (category_id, category_name). Найди клиентов, которые сделали заказы с товарами из ВСЕХ категорий. Выведи: customer_id, name. Используй двойной NOT EXISTS.;SELECT c.customer_id, c.name FROM customers c WHERE NOT EXISTS (SELECT 1 FROM categories cat WHERE NOT EXISTS (SELECT 1 FROM orders o JOIN order_items oi ON o.order_id = oi.order_id JOIN products p ON oi.product_id = p.product_id WHERE o.customer_id = c.customer_id AND p.category_id = cat.category_id));"Пытаются решить через HAVING COUNT(DISTINCT) = (SELECT COUNT(*) FROM categories) и забывают про JOIN; не понимают двойное отрицание";2026-07-16 00:00:00
BANK_SQL_046;sql;recursive_cte;SQL Core;Subqueries / CTE;1;AI;Иерархия сотрудников от CEO;Таблица: employees (emp_id, name, manager_id). manager_id = NULL для CEO. Выведи всех сотрудников с уровнями иерархии: emp_id, name, manager_id, level (level=1 для CEO, level=2 для прямых подчинённых и т.д.). Отсортируй по level, потом по name.;WITH RECURSIVE emp_tree AS (SELECT emp_id, name, manager_id, 1 AS level FROM employees WHERE manager_id IS NULL UNION ALL SELECT e.emp_id, e.name, e.manager_id, et.level + 1 FROM employees e JOIN emp_tree et ON e.manager_id = et.emp_id) SELECT * FROM emp_tree ORDER BY level, name;"Забывают RECURSIVE; не указывают базу рекурсии; путают JOIN условие; нет условия остановки (PostgreSQL сам остановит, но в общем случае нужно)";2026-07-16 00:00:00
BANK_SQL_047;sql;recursive_cte;SQL Core;Subqueries / CTE;2;AI;Дерево категорий с полным путём;"Таблица: categories (cat_id, cat_name, parent_id). parent_id = NULL для корневых категорий. Выведи все категории с полным путём от корня: cat_id, cat_name, full_path (например ""Электроника > Ноутбуки > Игровые"").";WITH RECURSIVE cat_path AS (SELECT cat_id, cat_name, CAST(cat_name AS TEXT) AS full_path FROM categories WHERE parent_id IS NULL UNION ALL SELECT c.cat_id, c.cat_name, cp.full_path || ' > ' || c.cat_name FROM categories c JOIN cat_path cp ON c.parent_id = cp.cat_id) SELECT * FROM cat_path ORDER BY full_path;"Забывают CAST для full_path; не экранируют символы; путают направление JOIN";2026-07-16 00:00:00
BANK_SQL_048;sql;recursive_cte;SQL Core;Subqueries / CTE;3;AI;Все подчинённые с суммой зарплат;Таблица: employees (emp_id, name, manager_id, salary). Для каждого сотрудника-руководителя посчитай суммарную зарплату всех его прямых и косвенных подчинённых. Выведи: emp_id, name, team_salary. Включи только тех, у кого есть подчинённые.;WITH RECURSIVE subordinates AS (SELECT e.emp_id AS manager_id, e.emp_id AS sub_id, e.salary FROM employees e UNION ALL SELECT s.manager_id, e.emp_id, e.salary FROM employees e JOIN subordinates s ON e.manager_id = s.sub_id) SELECT s.manager_id AS emp_id, m.name, SUM(s.salary) AS team_salary FROM subordinates s JOIN employees m ON s.manager_id = m.emp_id WHERE s.manager_id != s.sub_id GROUP BY s.manager_id, m.name ORDER BY team_salary DESC;"Включают зарплату самого руководителя; не исключают равенство manager_id = sub_id; не проверяют наличие подчинённых";2026-07-16 00:00:00
BANK_SQL_049;sql;any_all;SQL Core;Subqueries / CTE;1;AI;Заказы дороже любого заказа клиента 5;Таблица: orders (order_id, customer_id, amount). Найди заказы, сумма которых больше любого заказа клиента с customer_id = 5. Выведи: order_id, customer_id, amount. Используй > ALL.;SELECT order_id, customer_id, amount FROM orders WHERE amount > ALL (SELECT amount FROM orders WHERE customer_id = 5) ORDER BY amount DESC;"Путают > ALL и > ANY; пишут > MAX вместо ALL; забывают исключить самого клиента 5 если нужно";2026-07-16 00:00:00
BANK_SQL_050;sql;any_all;SQL Core;Subqueries / CTE;2;AI;Сотрудники с зарплатой выше средней по отделу;Таблица: employees (emp_id, name, dept_id, salary). Найди сотрудников, чья зарплата больше, чем средняя зарплата любого отдела (т.е. больше максимальной средней по отделам). Выведи: emp_id, name, salary. Используй > ALL.;SELECT emp_id, name, salary FROM employees WHERE salary > ALL (SELECT AVG(salary) FROM employees GROUP BY dept_id) ORDER BY salary DESC;"Используют > ANY (даст сотрудников с зарплатой выше минимальной средней); путают с > (SELECT AVG...)";2026-07-16 00:00:00
BANK_SQL_051;sql;any_all;SQL Core;Subqueries / CTE;3;AI;Товары дешевле самой дорогой распродажи;Таблицы: products (product_id, product_name, price), clearance (product_id, discount_pct). Найди товары, чья цена меньше, чем цена хотя бы одного товара со скидкой (price_with_discount = price * (1 - discount_pct/100)). Выведи: product_id, product_name, price. Используй < ANY.;SELECT p.product_id, p.product_name, p.price FROM products p WHERE p.price < ANY (SELECT pr.price * (1 - cl.discount_pct / 100.0) FROM products pr JOIN clearance cl ON pr.product_id = cl.product_id) ORDER BY p.price;"Забывают что discount_pct в процентах; путают < ANY и < ALL; не учитывают что скидка может быть NULL";2026-07-16 00:00:00
BANK_SQL_052;sql;rolling_window;SQL Core;Time Series;1;AI;Скользящее среднее за 3 дня;Таблица: daily_sales (sale_date, amount). Для каждой даты посчитай скользящее среднее за последние 3 дня (текущий + 2 предыдущих). Выведи: sale_date, amount, moving_avg_3d. Отсортируй по дате.;SELECT sale_date, amount, ROUND(AVG(amount) OVER (ORDER BY sale_date ROWS BETWEEN 2 PRECEDING AND CURRENT ROW), 2) AS moving_avg_3d FROM daily_sales ORDER BY sale_date;"Используют RANGE вместо ROWS; путают PRECEDING и FOLLOWING; забывают ORDER BY в OVER";2026-07-16 00:00:00
BANK_SQL_053;sql;rolling_window;SQL Core;Time Series;2;AI;Скользящая сумма за 7 дней;Таблица: daily_orders (order_date, order_count). Для каждой даты посчитай скользящую сумму заказов за последние 7 дней (текущий + 6 предыдущих). Если предыдущих дней меньше 7 — считай по доступным. Выведи: order_date, order_count, rolling_7d_sum.;SELECT order_date, order_count, SUM(order_count) OVER (ORDER BY order_date ROWS BETWEEN 6 PRECEDING AND CURRENT ROW) AS rolling_7d_sum FROM daily_orders ORDER BY order_date;"Используют RANGE с INTERVAL вместо ROWS; не понимают разницу между ROWS и RANGE";2026-07-16 00:00:00
BANK_SQL_054;sql;rolling_window;SQL Core;Time Series;3;AI;Максимальная цена за последние 30 дней с группировкой;Таблица: stock_prices (ticker, trade_date, close_price). Для каждого тикера и каждой даты посчитай максимальную цену закрытия за последние 30 календарных дней. Выведи: ticker, trade_date, close_price, max_30d.;SELECT ticker, trade_date, close_price, MAX(close_price) OVER (PARTITION BY ticker ORDER BY trade_date RANGE BETWEEN INTERVAL '30 days' PRECEDING AND CURRENT ROW) AS max_30d FROM stock_prices ORDER BY ticker, trade_date;"Используют ROWS вместо RANGE; забывают PARTITION BY; не понимают что RANGE работает с дубликатами дат иначе";2026-07-16 00:00:00
BANK_SQL_055;sql;rolling_self_join;SQL Core;Time Series;1;AI;Сравнение с предыдущим днём через SELF JOIN;Таблица: daily_metrics (metric_date, value). Для каждой даты выведи metric_date, value, prev_value (значение за предыдущий день). Используй SELF JOIN, не оконные функции.;SELECT m1.metric_date, m1.value, m2.value AS prev_value FROM daily_metrics m1 LEFT JOIN daily_metrics m2 ON m2.metric_date = m1.metric_date - INTERVAL '1 day' ORDER BY m1.metric_date;"Используют INNER JOIN и теряют первую дату; забывают что даты могут быть с пропусками";2026-07-16 00:00:00
BANK_SQL_056;sql;rolling_self_join;SQL Core;Time Series;2;AI;Скользящее среднее через SELF JOIN;Таблица: daily_sales (sale_date, amount). Посчитай скользящее среднее за 3 дня через SELF JOIN. Выведи: sale_date, amount, avg_3d.;SELECT m1.sale_date, m1.amount, ROUND(AVG(m2.amount), 2) AS avg_3d FROM daily_sales m1 JOIN daily_sales m2 ON m2.sale_date BETWEEN m1.sale_date - INTERVAL '2 days' AND m1.sale_date GROUP BY m1.sale_date, m1.amount ORDER BY m1.sale_date;"Используют LEFT JOIN и включают дни без 3 значений; GROUP BY по дате и amount";2026-07-16 00:00:00
BANK_SQL_057;sql;rolling_self_join;SQL Core;Time Series;3;AI;Кумулятивный максимум без оконных функций;Таблица: trades (trade_id, trade_date, price). Для каждой сделки найди максимальную цену всех сделок до текущей даты включительно. Нельзя использовать оконные функции. Выведи: trade_id, trade_date, price, running_max.;SELECT t1.trade_id, t1.trade_date, t1.price, MAX(t2.price) AS running_max FROM trades t1 JOIN trades t2 ON t2.trade_date <= t1.trade_date GROUP BY t1.trade_id, t1.trade_date, t1.price ORDER BY t1.trade_date, t1.trade_id;"Путают <= и <; забывают что нужен GROUP BY по всем неагрегированным столбцам; для больших таблиц это медленно";2026-07-16 00:00:00
BANK_SQL_174;sql;rolling_generate_series;SQL Core;Time Series;1;AI;Календарь на месяц с заполнением пропусков;Таблица: orders (order_id, order_date, amount). Сгенерируй все даты января 2024 года. Для каждой даты посчитай количество заказов и сумму. Если заказов нет — 0. Выведи: date, order_count, total_amount.;WITH calendar AS (SELECT generate_series('2024-01-01'::date, '2024-01-31'::date, '1 day') AS date) SELECT c.date, COUNT(o.order_id) AS order_count, COALESCE(SUM(o.amount), 0) AS total_amount FROM calendar c LEFT JOIN orders o ON c.date = o.order_date GROUP BY c.date ORDER BY c.date;"Забывают COALESCE для суммы; путают COUNT(o.order_id) и COUNT(*); используют INNER JOIN";2026-07-16 00:00:00
BANK_SQL_059;sql;rolling_generate_series;SQL Core;Time Series;2;AI;Почасовой профиль с заполнением;Таблица: events (event_id, event_time). Сгенерируй все часы за неделю (с 2024-03-01 00:00 по 2024-03-07 23:00). Для каждого часа посчитай количество событий. Выведи: hour, event_count. Отсортируй по часу.;WITH hours AS (SELECT generate_series('2024-03-01 00:00'::timestamp, '2024-03-07 23:00'::timestamp, '1 hour') AS hour) SELECT h.hour, COUNT(e.event_id) AS event_count FROM hours h LEFT JOIN events e ON e.event_time >= h.hour AND e.event_time < h.hour + INTERVAL '1 hour' GROUP BY h.hour ORDER BY h.hour;"Используют равенство для времени; не учитывают что события могут быть в любой момент часа";2026-07-16 00:00:00
BANK_SQL_060;sql;rolling_generate_series;SQL Core;Time Series;3;AI;Ежедневный retention с календарём;Таблица: user_activity (user_id, activity_date). Для каждого дня января 2024 посчитай DAU (дневные активные пользователи). Для каждого дня посчитай, сколько из этих пользователей были активны ровно 7 дней назад (D7 retention). Выведи: date, dau, retained_d7, retention_rate.;WITH calendar AS (SELECT generate_series('2024-01-01'::date, '2024-01-31'::date, '1 day') AS date), daily_users AS (SELECT activity_date, ARRAY_AGG(DISTINCT user_id) AS users FROM user_activity WHERE activity_date BETWEEN '2023-12-25' AND '2024-01-31' GROUP BY activity_date) SELECT c.date, COALESCE(ARRAY_LENGTH(du.users, 1), 0) AS dau, COALESCE(ARRAY_LENGTH(ARRAY(SELECT UNNEST(du.users) INTERSECT SELECT UNNEST(du7.users)), 1), 0) AS retained_d7, ROUND(100.0 * COALESCE(ARRAY_LENGTH(ARRAY(SELECT UNNEST(du.users) INTERSECT SELECT UNNEST(du7.users)), 1), 0) / NULLIF(COALESCE(ARRAY_LENGTH(du.users, 1), 0), 0), 1) AS retention_rate FROM calendar c LEFT JOIN daily_users du ON c.date = du.activity_date LEFT JOIN daily_users du7 ON c.date - INTERVAL '7 days' = du7.activity_date ORDER BY c.date;"Слишком сложное решение с массивами; забывают что нужны данные за 7 дней до начала месяца; путают формулы retention";2026-07-16 00:00:00
BANK_SQL_061;sql;percentile_functions;SQL Core;Window Functions;1;AI;Медианная сумма заказа по магазинам;Таблица: orders (order_id, shop_id, amount). Для каждого shop_id найди медианную сумму заказа. Выведи: shop_id, median_amount. Используй PERCENTILE_CONT(0.5).;SELECT shop_id, PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY amount) AS median_amount FROM orders GROUP BY shop_id ORDER BY shop_id;"Путают PERCENTILE_CONT и PERCENTILE_DISC; забывают WITHIN GROUP; используют AVG вместо медианы";2026-07-16 00:00:00
BANK_SQL_062;sql;percentile_functions;SQL Core;Window Functions;2;AI;Квартили зарплат по отделам;Таблица: employees (emp_id, name, dept_id, salary). Для каждого отдела найди Q1 (25-й перцентиль), медиану (50-й) и Q3 (75-й перцентиль) зарплат. Выведи: dept_id, q1, median, q3.;SELECT dept_id, PERCENTILE_CONT(0.25) WITHIN GROUP (ORDER BY salary) AS q1, PERCENTILE_CONT(0.50) WITHIN GROUP (ORDER BY salary) AS median, PERCENTILE_CONT(0.75) WITHIN GROUP (ORDER BY salary) AS q3 FROM employees GROUP BY dept_id ORDER BY dept_id;"Пишут три отдельных запроса вместо одного; путают порядок аргументов";2026-07-16 00:00:00
BANK_SQL_063;sql;percentile_functions;SQL Core;Window Functions;3;AI;Процентный ранг клиентов по сумме заказов;Таблица: orders (order_id, customer_id, amount). Посчитай для каждого клиента общую сумму заказов (total_amount), затем вычисли PERCENT_RANK каждого клиента по total_amount (от 0 до 1). Выведи: customer_id, total_amount, percentile_rank. Отсортируй по percentile_rank по убыванию.;WITH totals AS (SELECT customer_id, SUM(amount) AS total_amount FROM orders GROUP BY customer_id) SELECT customer_id, total_amount, ROUND(PERCENT_RANK() OVER (ORDER BY total_amount), 4) AS percentile_rank FROM totals ORDER BY percentile_rank DESC;"Путают PERCENT_RANK и CUME_DIST; забывают что это оконная функция а не агрегатная; не используют CTE";2026-07-16 00:00:00
BANK_SQL_064;sql;window_functions;SQL Core;Window Functions;1;AI;Доля заказа в дневной выручке;Таблица: orders (order_id, order_date, amount). Для каждого заказа выведи: order_id, order_date, amount и долю этого заказа в общей сумме заказов за этот день (daily_share, в процентах, округли до 2 знаков).;SELECT order_id, order_date, amount, ROUND(100.0 * amount / SUM(amount) OVER (PARTITION BY order_date), 2) AS daily_share FROM orders ORDER BY order_date, order_id;"Забывают PARTITION BY; используют GROUP BY вместо оконной функции; делят на общую сумму а не дневную";2026-07-16 00:00:00
BANK_SQL_065;sql;window_functions;SQL Core;Window Functions;2;AI;Отклонение от среднего по категории;Таблица: products (product_id, product_name, category_id, price). Для каждого товара выведи: product_id, product_name, category_id, price, avg_category_price (средняя цена по категории), deviation (отклонение цены от средней по категории).;SELECT product_id, product_name, category_id, price, ROUND(AVG(price) OVER (PARTITION BY category_id), 2) AS avg_category_price, ROUND(price - AVG(price) OVER (PARTITION BY category_id), 2) AS deviation FROM products ORDER BY category_id, product_id;"Путают OVER с GROUP BY; пытаются использовать WHERE для фильтрации оконных функций";2026-07-16 00:00:00
BANK_SQL_066;sql;window_functions;SQL Core;Window Functions;3;AI;Сравнение с лучшим в своём регионе и в стране;Таблица: sales (sale_id, salesperson_id, region_id, amount). Для каждой продажи выведи: sale_id, salesperson_id, region_id, amount, best_in_region (макс. сумма продажи в этом регионе), best_in_country (макс. сумма по всем регионам), pct_of_region_best (процент от лучшего в регионе).;SELECT sale_id, salesperson_id, region_id, amount, MAX(amount) OVER (PARTITION BY region_id) AS best_in_region, MAX(amount) OVER () AS best_in_country, ROUND(100.0 * amount / NULLIF(MAX(amount) OVER (PARTITION BY region_id), 0), 2) AS pct_of_region_best FROM sales ORDER BY region_id, sale_id;"Забывают NULLIF для деления на ноль; путают OVER(PARTITION BY) и OVER()";2026-07-16 00:00:00
BANK_SQL_067;sql;rank_dense_rank;SQL Core;Window Functions;1;AI;Рейтинг товаров по цене в категории;Таблица: products (product_id, product_name, category_id, price). Для каждого товара выведи его ранг по цене внутри своей категории (от самой высокой к самой низкой). Используй RANK. Столбцы: product_id, product_name, category_id, price, rank_in_category.;SELECT product_id, product_name, category_id, price, RANK() OVER (PARTITION BY category_id ORDER BY price DESC) AS rank_in_category FROM products ORDER BY category_id, rank_in_category;"Путают RANK и ROW_NUMBER; забывают PARTITION BY; сортируют ASC вместо DESC";2026-07-16 00:00:00
BANK_SQL_068;sql;rank_dense_rank;SQL Core;Window Functions;2;AI;DENSE_RANK для зарплат без пропусков;Таблица: employees (emp_id, name, dept_id, salary). Для каждого отдела выведи топ-3 зарплат без пропусков в ранжировании (одинаковые зарплаты — одинаковое место). Столбцы: dept_id, emp_id, name, salary, salary_rank. Отсортируй по dept_id, salary_rank.;SELECT dept_id, emp_id, name, salary, DENSE_RANK() OVER (PARTITION BY dept_id ORDER BY salary DESC) AS salary_rank FROM employees ORDER BY dept_id, salary_rank;"Используют RANK и получают пропуски; используют ROW_NUMBER и получают случайный порядок при одинаковых зарплатах";2026-07-16 00:00:00
BANK_SQL_069;sql;rank_dense_rank;SQL Core;Window Functions;3;AI;Второе место с учётом одинаковых значений;Таблица: exam_results (student_id, subject_id, score). Для каждого предмета найди студентов, занявших второе место (следующее за максимальным баллом). Если на втором месте несколько студентов — выведи всех. Используй DENSE_RANK.;WITH ranked AS (SELECT student_id, subject_id, score, DENSE_RANK() OVER (PARTITION BY subject_id ORDER BY score DESC) AS dr FROM exam_results) SELECT student_id, subject_id, score FROM ranked WHERE dr = 2 ORDER BY subject_id, student_id;"Используют ROW_NUMBER и теряют часть студентов второго места; используют RANK и могут пропустить dr=2 если первое место занято несколькими";2026-07-16 00:00:00
BANK_SQL_070;sql;lag_lead;SQL Core;Window Functions;1;AI;Изменение цены акции день к дню;Таблица: stock_prices (ticker, trade_date, close_price). Для каждой записи выведи: ticker, trade_date, close_price, prev_close (цена за предыдущий торговый день того же тикера), daily_change (разница close_price - prev_close).;SELECT ticker, trade_date, close_price, LAG(close_price) OVER (PARTITION BY ticker ORDER BY trade_date) AS prev_close, close_price - LAG(close_price) OVER (PARTITION BY ticker ORDER BY trade_date) AS daily_change FROM stock_prices ORDER BY ticker, trade_date;"Забывают PARTITION BY ticker; путают LAG и LEAD; не используют оконную функцию дважды";2026-07-16 00:00:00
BANK_SQL_071;sql;lag_lead;SQL Core;Window Functions;2;AI;Сравнение заказа с предыдущим и следующим;Таблица: orders (order_id, customer_id, order_date, amount). Для каждого заказа выведи: order_id, customer_id, order_date, amount, prev_amount (предыдущий заказ того же клиента), next_amount (следующий заказ того же клиента).;SELECT order_id, customer_id, order_date, amount, LAG(amount) OVER (PARTITION BY customer_id ORDER BY order_date) AS prev_amount, LEAD(amount) OVER (PARTITION BY customer_id ORDER BY order_date) AS next_amount FROM orders ORDER BY customer_id, order_date;"Путают LAG и LEAD местами; забывают PARTITION BY";2026-07-16 00:00:00
BANK_SQL_072;sql;lag_lead;SQL Core;Window Functions;3;AI;Периоды между заказами и аномалии;Таблица: orders (order_id, customer_id, order_date). Для каждого заказа посчитай days_since_prev (дней с предыдущего заказа того же клиента). Затем найди заказы, где days_since_prev превышает средний интервал для этого клиента более чем в 2 раза. Выведи: customer_id, order_id, order_date, days_since_prev, avg_interval.;WITH intervals AS (SELECT customer_id, order_id, order_date, order_date - LAG(order_date) OVER (PARTITION BY customer_id ORDER BY order_date) AS days_since_prev FROM orders), avg_intervals AS (SELECT customer_id, AVG(days_since_prev) AS avg_interval FROM intervals WHERE days_since_prev IS NOT NULL GROUP BY customer_id) SELECT i.customer_id, i.order_id, i.order_date, i.days_since_prev, ROUND(ai.avg_interval, 1) AS avg_interval FROM intervals i JOIN avg_intervals ai ON i.customer_id = ai.customer_id WHERE i.days_since_prev > 2 * ai.avg_interval ORDER BY i.customer_id, i.order_date;"Не исключают первый заказ (NULL); не учитывают что NULL в AVG игнорируется; путают WHERE и HAVING для фильтрации";2026-07-16 00:00:00
