task_code;domain;pattern;pattern_group;pattern_subgroup;difficulty;title;prompt;loaded_to_db_at
PROB_2106_11;theory;uniform_distribution;Distributions;Continuous;1;Равномерное распределение: E, Var и вероятности;считать матожидание, дисперсию и вероятности для равномерного распределения;2026-07-16 00:00:00
PROB_2106_12;theory;exponential_distribution;Distributions;Continuous;1;Экспоненциальное: среднее время 4 минуты;найти λ и вероятности для экспоненциального распределения;2026-07-16 00:00:00
PROB_2106_13;theory;exponential_distribution;Distributions;Continuous;1;Экспоненциальное: интенсивность 0.5 в час;считать среднее время и вероятности для экспоненциального распределения;2026-07-16 00:00:00
PROB_2106_14;theory;normal_distribution;Distributions;Continuous;1;Нормальное: рост, хвосты и интервал 68%;использовать правило сигм для вероятностей и интервалов в нормальном распределении;2026-07-16 00:00:00
PROB_2106_15;theory;normal_distribution;Distributions;Continuous;1;Нормальное: вес упаковок;использовать правило сигм для интервалов и хвостовых вероятностей;2026-07-16 00:00:00
PROB_2106_16;theory;expectation_variance;Expectation & Variance;Variance;2;Матожидание и дисперсия по дискретному закону;считать E[X], E[X²] и Var(X) по таблице распределения;2026-07-16 00:00:00
PROB_2106_17;theory;covariance;Dependence;Covariance;2;Ковариация и корреляция по совместному распределению;считать E[X], E[Y], E[XY], Cov(X,Y) и определять наличие корреляции;2026-07-16 00:00:00
PROB_2106_18;theory;conditional_expectation;Expectation & Variance;Expectation;2;Условное распределение и условное ожидание;находить условное распределение и считать E[Y|X];2026-07-16 00:00:00
PROB_2106_19;theory;conditional_expectation;Expectation & Variance;Expectation;2;Закон полного матожидания;проверять закон полного матожидания через условные ожидания;2026-07-16 00:00:00
PROB_2106_20;theory;variance_properties;Expectation & Variance;Variance;2;Дисперсия суммы, разности и корреляция;использовать Var(X±Y), Cov(X,Y) и Corr(X,Y);2026-07-16 00:00:00
PROB_2106_21;theory;variance_properties;Expectation & Variance;Variance;2;Дисперсия линейных комбинаций независимых величин;считать Var(aX+bY) при независимости;2026-07-16 00:00:00
PROB_2106_22;theory;portfolio_variance;Expectation & Variance;Applications;2;Портфель: ковариация и вес минимальной дисперсии;считать ковариацию активов, дисперсию портфеля и оптимальный вес;2026-07-16 00:00:00
PROB_2106_23;theory;portfolio_variance;Expectation & Variance;Applications;2;Портфель: минимальная дисперсия по Var и Cov;считать дисперсию портфеля, оптимальный вес и минимальную дисперсию;2026-07-16 00:00:00
STAT_2106_01;statistics;variable_types;Descriptive Statistics;Data Types;1;Температура в °C: интервальная или относительная шкала;определить тип шкалы и объяснить наличие/отсутствие истинного нуля;2026-07-16 00:00:00
STAT_2106_02;statistics;variable_types;Descriptive Statistics;Data Types;1;Количество детей: дискретная или непрерывная;определить тип переменной;2026-07-16 00:00:00
STAT_2106_03;statistics;variable_types;Descriptive Statistics;Data Types;1;Марка автомобиля: номинальная или порядковая;определить тип категориальной переменной;2026-07-16 00:00:00
STAT_2106_04;statistics;sampling_design;Experimental Design;Sampling;1;Дизайн стратифицированной выборки для ЕГЭ;описать, как построить стратифицированную выборку и какие страты выбрать;2026-07-16 00:00:00
STAT_2106_05;statistics;sampling_design;Experimental Design;Sampling;1;Стратифицированная vs кластерная выборка;объяснить разницу между стратифицированной и кластерной выборкой и привести пример;2026-07-16 00:00:00
STAT_2106_06;statistics;mean_vs_median;Descriptive Statistics;Central Tendency;1;Среднее или медиана для зарплат с выбросом;выбрать устойчивую меру центра и объяснить влияние выброса;2026-07-16 00:00:00
STAT_2106_07;statistics;summary_statistics;Descriptive Statistics;Summary Statistics;1;IQR vs range;объяснить, что показывает межквартильный размах и чем он лучше обычного размаха;2026-07-16 00:00:00
PROB_2106_24;theory;distribution_identification;Distributions;Distribution Concepts;1;Узнавание распределений: сайт, рост, монетка;сопоставить ситуации с распределениями Бернулли, Пуассона и нормальным;2026-07-16 00:00:00
PROB_2106_25;theory;chi_square_distribution;Distributions;Continuous;2;Почему хи-квадрат несимметричен;объяснить форму распределения хи-квадрат;2026-07-16 00:00:00
PROB_2106_26;theory;t_distribution;Distributions;Continuous;2;Чем t-распределение отличается от нормального;объяснить свойства t-распределения и когда его используют;2026-07-16 00:00:00
STAT_2106_11;statistics;central_limit_theorem;Hypothesis Testing;Foundations;1;Объяснить ЦПТ в двух предложениях;кратко объяснить центральную предельную теорему;2026-07-16 00:00:00
STAT_2106_12;statistics;central_limit_theorem;Hypothesis Testing;Foundations;1;Что будет со стандартной ошибкой при росте выборки в 4 раза;объяснить зависимость стандартной ошибки от размера выборки;2026-07-16 00:00:00
STAT_2106_13;statistics;interval_interpretation;Estimation;Confidence Intervals;2;Доверительный интервал и решение по H0;использовать доверительный интервал для решения, отвергается ли гипотеза;2026-07-16 00:00:00
STAT_2106_14;statistics;type1_type2;Hypothesis Testing;Decision Making;1;Ошибки I и II рода для подписки;описать ошибки I и II рода в продуктовой задаче;2026-07-16 00:00:00
STAT_2106_15;statistics;type1_type2;Hypothesis Testing;Decision Making;1;Какая ошибка страшнее для лекарства;сравнить цену ошибок I и II рода в медицинском контексте;2026-07-16 00:00:00
STAT_2106_16;statistics;one_sample_test_selection;Parametric Analysis;One Sample Tests;2;Одна выборка, среднее, дисперсия неизвестна;выбрать подходящий тест;2026-07-16 00:00:00
STAT_2106_17;statistics;two_independent_test_selection;Parametric Analysis;Two Independent Samples;2;Две выборки: равенство долей;выбрать тест для сравнения долей;2026-07-16 00:00:00
STAT_2106_18;statistics;test_selection;Hypothesis Testing;Test Selection;2;Три группы: последовательность проверки;описать логику проверки равенства средних для трёх групп;2026-07-16 00:00:00
STAT_2106_19;statistics;tukey_test;Parametric Analysis;Post-hoc Tests;2;Почему нельзя делать три попарных t-теста;объяснить проблему множественных сравнений;2026-07-16 00:00:00
STAT_2106_20;statistics;p_value;Hypothesis Testing;Foundations;1;Решение по p-value = 0.02;принять решение об отклонении H0 по p-value и alpha;2026-07-16 00:00:00
STAT_2106_21;statistics;p_value;Hypothesis Testing;Foundations;1;Объяснить p-value без формул;объяснить смысл p-value простыми словами;2026-07-16 00:00:00
SQL_2006_01;sql;string_cleanup;Data Handling;Strings;2;Валидация и очистка телефонов;проверить валидность телефона по regex, очистить строку через regexp_replace и повторно провалидировать формат;2026-07-16 00:00:00
SQL_2006_02;sql;regex;Data Handling;Strings;2;Парсинг логов через split_part и regexp_matches;распарсить дату, время, уровень лога, user_id и duration_ms из текстовой записи лога;2026-07-16 00:00:00
SQL_2006_03;sql;string_cleanup;Data Handling;Strings;2;Очистка price, NULLIF/COALESCE и расчёт выручки;очистить строковую цену, провалидировать и привести к numeric, обработать невалидные значения и посчитать revenue/status;2026-07-16 00:00:00
SQL_2006_04;sql;rolling_window;SQL Core;Time Series;2;Скользящие метрики и wow growth;посчитать rolling 7-day сумму пользователей, rolling 3-day среднюю выручку, lag на 7 дней и week-over-week growth;2026-07-16 00:00:00
SQL_2206_01;sql;topn_per_group;SQL Core;Window Functions;1;Топ-2 зарплат по отделу;найти сотрудников, у которых зарплата входит в топ-2 по отделу с учётом одинаковых зарплат;2026-07-16 00:00:00
SQL_2206_02;sql;aggregation;SQL Core;Aggregation;1;Средний чек по странам в январе 2024;через join, group by и having найти страны, где средний чек заказа в январе 2024 выше 100;2026-07-16 00:00:00
SQL_2206_03;sql;retention;Product Analytics;User Lifecycle;2;Day-1 retention в упрощённой форме;найти дату первого действия пользователя и посчитать количество действий на следующий день после первого действия;2026-07-16 00:00:00
SQL_2206_04;sql;aggregation;SQL Core;Aggregation;1;Топ-10 пользователей по числу отправок;посчитать количество отправок на проверку по пользователям и вывести топ-10;2026-07-16 00:00:00
SQL_2206_05;sql;anti_join;SQL Core;Joins;2;Начинали Python Basics, но не SQL Basics;найти пользователей, которые начинали тест Python Basics, но не начинали SQL Basics;2026-07-16 00:00:00
SQL_2206_06;sql;aggregation;SQL Core;Aggregation;1;Клиенты с высоким средним чеком и числом заказов;найти клиентов, у которых средний чек выше 500 и заказов больше 3;2026-07-16 00:00:00
SQL_2206_07;sql;conditional_aggregation;SQL Core;Aggregation;2;Начисления vs списания по пользователям;посчитать сумму начислений и списаний по пользователям и найти тех, у кого разница больше 1000;2026-07-16 00:00:00
SQL_2206_08;sql;window_functions;SQL Core;Window Functions;2;Доля заказа от общей суммы заказов пользователя;для каждого заказа посчитать долю его суммы от общей суммы заказов этого пользователя;2026-07-16 00:00:00
SQL_2206_09;sql;anti_join;SQL Core;Joins;2;Отправляли Factorial, но не Fibonacci;найти пользователей, которые отправляли задачу Factorial, но ни разу не отправляли Fibonacci;2026-07-16 00:00:00
SQL_2206_10;sql;conditional_aggregation;SQL Core;Aggregation;2;Продажи по кварталам и разница Q2−Q1;для каждого региона посчитать продажи за Q1 и Q2 2025 и разницу между ними;2026-07-16 00:00:00
SQL_2206_11;sql;aggregation;SQL Core;Aggregation;1;Топ-5 городов по выручке;найти топ-5 городов по суммарной выручке;2026-07-16 00:00:00
SQL_2206_12;sql;anti_join;SQL Core;Joins;1;Сотрудники без продаж;найти сотрудников, которые не совершили ни одной продажи;2026-07-16 00:00:00
SQL_2206_13;sql;row_number;SQL Core;Window Functions;1;Текущая зарплата сотрудника;для каждого сотрудника найти последнюю по дате зарплату;2026-07-16 00:00:00
SQL_2206_14;sql;conditional_aggregation;SQL Core;Aggregation;2;Клиенты с низкой долей отмен;найти клиентов, у которых больше 3 заказов и процент отменённых меньше 20%;2026-07-16 00:00:00
SQL_2206_15;sql;aggregation;SQL Core;Aggregation;2;Первый и последний заказ пользователя;найти дату первого и последнего заказа пользователя и оставить тех, у кого между ними больше 90 дней;2026-07-16 00:00:00
PROB_2206_01;theory;cdf_interpretation;Distributions;Distribution Functions;1;Функция распределения и вероятность через F(x);объяснить, что такое функция распределения F(x), и выразить вероятность P(a < X ≤ b) через F;2026-07-16 00:00:00
PROB_2206_02;theory;exponential_distribution;Distributions;Continuous;1;F(t) и функция выживания для экспоненциального распределения;записать функцию распределения и функцию выживания для экспоненциального распределения;2026-07-16 00:00:00
PROB_2206_03;theory;independence;Probability;Conditional;1;Независимые и несовместные события;объяснить разницу между независимыми и несовместными событиями и привести пример;2026-07-16 00:00:00
PROB_2206_04;theory;correlation;Dependence;Covariance;2;Нулевая корреляция и независимость;объяснить, почему Corr(X,Y)=0 не гарантирует независимость, и привести контрпример;2026-07-16 00:00:00
PROB_2206_05;theory;chebyshev_inequality;Expectation & Variance;Inequalities;2;Неравенство Чебышёва;записать неравенство Чебышёва и объяснить, зачем оно нужно;2026-07-16 00:00:00
PROB_2206_06;theory;exponential_distribution;Distributions;Continuous;2;Свойство отсутствия памяти у экспоненциального распределения;объяснить свойство memoryless и записать его формулой;2026-07-16 00:00:00
PROB_2206_07;theory;distribution_concept;Distributions;Distribution Concepts;1;Связь Бернулли и биномиального распределения;объяснить связь между распределением Бернулли(p) и биномиальным распределением Bin(n,p);2026-07-16 00:00:00
PROB_2206_08;theory;distribution_concept;Distributions;Distribution Concepts;2;Связь нормального, χ² и распределения Стьюдента;объяснить связь между нормальным распределением, хи-квадрат и t-распределением;2026-07-16 00:00:00
SQL_2306_01;sql;forward_fill;SQL Core;Window Functions;3;Forward fill температуры по дням;для дат с 1 по 10 января 2024 показать температуру по каждому сенсору на каждый день, заполняя пропуски последним известным значением через generate_series и forward fill;2026-07-16 00:00:00
SQL_2306_02;sql;pivot_unpivot;Data Handling;Data Reshaping;2;Pivot выручки по месяцам;развернуть месяцы jan/feb/mar 2024 в отдельные колонки выручки по каждому продукту;2026-07-16 00:00:00
SQL_2306_03;sql;pivot_unpivot;Data Handling;Data Reshaping;2;Unpivot продаж по месяцам;преобразовать широкую таблицу pivoted_sales обратно в формат product, month, revenue;2026-07-16 00:00:00
SQL_2306_04;sql;as_of_join;SQL Core;Joins;3;Последний заказ до звонка;для каждого звонка найти последний заказ пользователя, созданный до момента звонка, и посчитать разницу во времени;2026-07-16 00:00:00
SQL_2306_05;sql;retention;Product Analytics;User Lifecycle;2;Месячный retention по когорте первого заказа;построить когорты по месяцу первого заказа, посчитать размер когорты и retention в следующем календарном месяце;2026-07-16 00:00:00
SQL_2306_06;sql;running_aggregates;SQL Core;Window Functions;2;Баланс пользователя по транзакциям;для каждого пользователя посчитать дневное изменение баланса и накопительный баланс по транзакциям;2026-07-16 00:00:00
SQL_2306_08;sql;rolling_window;SQL Core;Time Series;2;Rolling sum заказов за 30 дней;для каждого заказа посчитать сумму заказов этого же пользователя за предыдущие 30 дней включая текущий;2026-07-16 00:00:00
SQL_2306_09;sql;self_join;SQL Core;Joins;3;Сотрудники, зарабатывающие больше менеджера;найти департаменты, в которых больше двух сотрудников зарабатывают больше своего менеджера;2026-07-16 00:00:00
SQL_2306_10;sql;gaps_islands;SQL Core;Window Functions;3;Максимальная серия неудачных логинов;для каждого пользователя посчитать максимальное количество неудачных попыток входа подряд;2026-07-16 00:00:00
SQL_2306_11;sql;conditional_aggregation;SQL Core;Aggregation;2;Доходы vs расходы по месяцам;для каждого месяца посчитать число пользователей, у которых доходы больше расходов, и число пользователей, у которых расходы больше доходов;2026-07-16 00:00:00
SQL_2306_13;sql;topn_per_group;SQL Core;Window Functions;1;Top-3 уникальные зарплаты по департаменту;найти сотрудников, чья зарплата входит в топ-3 уникальных зарплат по департаменту;2026-07-16 00:00:00
SQL_2306_14;sql;topn_per_group;SQL Core;Window Functions;1;Сотрудники с максимальной зарплатой по департаменту;найти сотрудников с максимальной зарплатой в каждом департаменте;2026-07-16 00:00:00
PROB_2306_01;theory;conditional_expectation;Expectation & Variance;Expectation;2;Условное матожидание E[Y|X] и закон полного матожидания;по совместному распределению найти E[Y|X=0], E[Y|X=1] и проверить закон полного матожидания;2026-07-16 00:00:00
PROB_2306_02;theory;conditional_expectation;Expectation & Variance;Expectation;2;Условное матожидание E[X|Y];по совместному распределению найти E[X|Y=2] и E[X|Y=4];2026-07-16 00:00:00
PROB_2306_03;theory;conditional_expectation;Expectation & Variance;Expectation;1;Средняя зарплата по компании;по долям мужчин и женщин и их средним зарплатам найти среднюю зарплату по компании и назвать закон;2026-07-16 00:00:00
PROB_2306_04;theory;covariance;Dependence;Covariance;2;Ковариация по совместному распределению;по совместному распределению найти E[X], E[Y], E[XY], Cov(X,Y) и определить, коррелированы ли X и Y;2026-07-16 00:00:00
PROB_2306_05;theory;correlation;Dependence;Covariance;1;Corr и Var(X−Y) через Var и Cov;по Var(X), Var(Y) и Cov(X,Y) найти Corr(X,Y) и Var(X−Y);2026-07-16 00:00:00
PROB_2306_06;theory;covariance;Dependence;Covariance;1;Нулевая ковариация и независимость;объяснить, можно ли из Cov(X,Y)=0 сделать вывод о независимости, и привести контрпример;2026-07-16 00:00:00
PROB_2306_07;theory;geometric;Distributions;Discrete;1;Дисперсия геометрического распределения;при p=0.2 найти дисперсию геометрического распределения;2026-07-16 00:00:00
PROB_2306_08;theory;conditional_probability;Probability;Conditional;1;Специфичность теста и ложноположительный результат;по специфичности теста найти вероятность положительного результата для здорового человека;2026-07-16 00:00:00
PROB_2306_09;theory;sigma_rule;Distributions;Normal Distribution;1;Доля данных вне трёх сигм;по правилу трёх сигм найти процент наблюдений вне интервала μ ± 3σ;2026-07-16 00:00:00
PROB_2306_10;theory;distribution_concept;Distributions;Distribution Concepts;2;Связь стандартного нормального и хи-квадрат распределения;по независимым стандартным нормальным величинам определить распределение суммы квадратов и указать параметр;2026-07-16 00:00:00
PROB_2306_11;theory;distribution_concept;Distributions;Distribution Concepts;2;Связь нормального, хи-квадрат и Стьюдента;по выражению вида Z / sqrt(chi-square / nu) определить распределение Стьюдента и его параметр;2026-07-16 00:00:00
PROB_2306_12;theory;distribution_concept;Distributions;Distribution Concepts;1;Приближение биномиального распределения Пуассоном;для Bin(n,p) с большим n и малым p определить приближающее распределение и параметр λ=np;2026-07-16 00:00:00
STAT_2306_01;statistics;variable_types;Descriptive Statistics;Data Types;1;Типы переменных в клиентских данных;определить типы переменных для возраста, пола, города, суммы покупки и категории товара;2026-07-16 00:00:00
STAT_2306_02;statistics;sampling_design;Experimental Design;Sampling;1;Выборка для оценки удовлетворённости сотрудников;выбрать подходящий дизайн выборки для компании с 5 офисами при ограниченном бюджете и объяснить выбор;2026-07-16 00:00:00
STAT_2306_03;statistics;mean_vs_median;Descriptive Statistics;Central Tendency;1;Среднее или медиана для времени ответа поддержки;определить, какая мера лучше описывает типичное время ответа при правосторонне скошенном распределении;2026-07-16 00:00:00
STAT_2306_04;statistics;normality_assessment;Assumption Tests;Normality;2;Интерпретация QQ-plot с отклонением в хвостах;объяснить, что означает ситуация, когда точки на QQ-plot в целом лежат на прямой, но отклоняются в хвостах;2026-07-16 00:00:00
STAT_2306_05;statistics;test_selection;Hypothesis Testing;Test Selection;2;Шапиро–Уилк и выбор теста;по результату теста Шапиро–Уилка сделать вывод о нормальности и определить, использовать ли параметрический или непараметрический тест;2026-07-16 00:00:00
STAT_2306_06;statistics;hypothesis_formulation;Hypothesis Testing;Foundations;1;Гипотезы для роста конверсии;сформулировать H0 и H1 для проверки, что новый дизайн сайта увеличил конверсию;2026-07-16 00:00:00
STAT_2306_07;statistics;type1_type2;Hypothesis Testing;Decision Making;1;Ошибки I и II рода для баннера;описать ошибку I и II рода для гипотезы о клике по баннеру и выбрать более опасную для бизнеса;2026-07-16 00:00:00
STAT_2306_08;statistics;one_sample_test_selection;Parametric Analysis;One Sample Tests;1;Один средний чек и неизвестная дисперсия;назвать тест для одной выборки при проверке среднего значения, если дисперсия неизвестна;2026-07-16 00:00:00
STAT_2306_09;statistics;two_independent_test_selection;Parametric Analysis;Two Independent Samples;1;Две независимые группы и равенство конверсий;назвать тест для сравнения конверсий в двух независимых группах;2026-07-16 00:00:00
STAT_2306_10;statistics;test_selection;Hypothesis Testing;Test Selection;2;Три группы и сравнение среднего чека;описать последовательность шагов для сравнения среднего чека в трёх группах;2026-07-16 00:00:00
STAT_2306_11;statistics;p_value;Hypothesis Testing;Foundations;1;Решение по p-value 0.01;по p-value и уровню значимости определить, отвергается ли H0 и что это означает;2026-07-16 00:00:00
STAT_2306_12;statistics;p_value;Hypothesis Testing;Foundations;1;Интерпретация p-value 0.2;объяснить, означает ли большое p-value истинность нулевой гипотезы;2026-07-16 00:00:00
STAT_2306_13;statistics;interval_interpretation;Estimation;Confidence Intervals;1;Доверительный интервал и проверка H0;по доверительному интервалу для средней зарплаты решить, отвергается ли гипотеза о среднем значении 70000;2026-07-16 00:00:00
STAT_2306_14;statistics;central_limit_theorem;Hypothesis Testing;Foundations;1;Объяснение ЦПТ;кратко объяснить центральную предельную теорему и её роль при работе с одной выборкой;2026-07-16 00:00:00
STAT_2306_15;statistics;normality_assessment;Assumption Tests;Normality;2;Зачем проверять нормальность перед t-тестом;объяснить, зачем проверять нормальность перед применением t-теста;2026-07-16 00:00:00
STAT_2306_16;statistics;test_selection;Hypothesis Testing;Test Selection;2;Шапиро–Уилк p=0.04 и t-тест;по результату теста Шапиро–Уилка объяснить, можно ли использовать t-тест;2026-07-16 00:00:00
STAT_2306_17;statistics;data_transformation;Hypothesis Testing;Advanced Topics;2;Преобразование для правосторонне скошенных доходов;выбрать преобразование для правосторонне скошенных данных о доходах;2026-07-16 00:00:00
STAT_2306_18;statistics;test_selection;Hypothesis Testing;Test Selection;2;Что делать, если логарифм не помог нормализовать данные;описать дальнейшие действия, если после логарифмирования данные всё равно не проходят тест на нормальность;2026-07-16 00:00:00
STAT_2306_19;statistics;test_selection;Hypothesis Testing;Test Selection;2;Три баннера и средний чек;описать последовательность тестов для сравнения среднего чека в трёх группах;2026-07-16 00:00:00
STAT_2306_20;statistics;anova;Parametric Analysis;Multiple Independent Groups;2;Интерпретация значимой ANOVA;объяснить, что означает p-value=0.03 в ANOVA и что делать после значимого результата;2026-07-16 00:00:00
STAT_2306_21;statistics;test_selection;Hypothesis Testing;Test Selection;2;Тест Данна vs тест Тьюки;объяснить, чем отличается тест Данна от теста Тьюки;2026-07-16 00:00:00
SQL_2406_01;sql;join;SQL Core;Joins;1;Пользователи с отправками кода в апреле 2021;Из таблиц users и coderun вывести id, username, date_joined, problem_id для пользователей, отправлявших код с 1 по 30 апреля 2021 года;2026-07-16 00:00:00
SQL_2406_02;sql;join;SQL Core;Joins;1;Языки программирования и существующие задачи;Из language, languagetoproblem и problem вывести language_name, problem_name, complexity только для языков, у которых есть задачи;2026-07-16 00:00:00
SQL_2406_03;sql;anti_join;SQL Core;Joins;1;Языки программирования без задач;Вывести только те языки программирования, для которых не существует задач;2026-07-16 00:00:00
SQL_2406_04;sql;join;SQL Core;Joins;1;Правильные ответы на вопросы теста;Из testquestion и testanswer вывести question_id, question_value, question_tag, correct_answer_value только для правильных ответов;2026-07-16 00:00:00
SQL_2406_05;sql;anti_join;SQL Core;Joins;1;Задачи, которые никогда не отправлялись на проверку;Из problem и codesubmit вывести названия задач, которые никогда не отправлялись на проверку;2026-07-16 00:00:00
SQL_2406_06;sql;forward_fill;SQL Core;Window Functions;3;Forward fill статуса пользователя по дням;Для user_id = 1 показать статус на каждый день с 1 по 15 января, заполняя пропуски последним известным статусом;2026-07-16 00:00:00
SQL_2406_07;sql;pivot_unpivot;Data Handling;Data Reshaping;2;Pivot с двумя метриками по месяцам;Для employee_sales развернуть месяцы в колонки, показав revenue и clients по каждому месяцу;2026-07-16 00:00:00
SQL_2406_08;sql;pivot_unpivot;Data Handling;Data Reshaping;2;Unpivot таблицы с revenue и clients;Вернуть pivoted_emp к виду employee, month, revenue, clients через UNION ALL;2026-07-16 00:00:00
SQL_2406_09;sql;self_join;SQL Core;Joins;3;Сотрудник → руководитель + уровень и подчинённые;Для каждого сотрудника показать имя руководителя, разницу зарплат, уровень в иерархии и наличие подчинённых;2026-07-16 00:00:00
SQL_2406_10;sql;retention;Product Analytics;User Lifecycle;3;Дневной retention по когортам;Для user_actions посчитать cohort_size, day_1_retention, day_3_retention, day_7_retention по дневным когортам за последние 14 дней;2026-07-16 00:00:00
SQL_2406_14;sql;gaps_islands;SQL Core;Window Functions;3;Максимальная серия неудачных попыток;Для каждого пользователя посчитать максимальное количество неудачных попыток подряд;2026-07-16 00:00:00
SQL_2406_15;sql;exists;SQL Core;Subqueries / CTE;2;SQL Advanced, но не Python Advanced;"Найти пользователей, которые начали тест SQL Advanced, но не начали Python Advanced; решить через EXISTS / NOT EXISTS";2026-07-16 00:00:00
SQL_2406_16;sql;having;SQL Core;Aggregation;3;Задачи, которые отправляли сильные пользователи;Найти задачи, которые отправляли пользователи, успешно решившие хотя бы 5 разных задач;2026-07-16 00:00:00
SQL_2406_17;sql;running_aggregates;SQL Core;Window Functions;2;Кумулятивная сумма продаж по регионам;Для sales посчитать ежедневную сумму и нарастающий итог по регионам за 2025 год;2026-07-16 00:00:00
PROB_2406_01;theory;conditional_expectation;Expectation & Variance;Expectation;2;УМ4: E[Y|X] и закон полного матожидания;По совместному распределению найти E[Y|X=0], E[Y|X=1] и проверить закон полного матожидания;2026-07-16 00:00:00
PROB_2406_02;theory;conditional_expectation;Expectation & Variance;Expectation;2;УМ5: E[X|Y] по совместному распределению;По совместному распределению найти E[X|Y=0] и E[X|Y=2];2026-07-16 00:00:00
PROB_2406_03;theory;conditional_expectation;Expectation & Variance;Expectation;1;УМ6: средняя зарплата по трём отделам;Найти среднюю зарплату по компании через веса отделов и их средние зарплаты;2026-07-16 00:00:00
PROB_2406_04;theory;bayes;Probability;Bayes;2;Б1: коробка с шарами и апостериорная вероятность;После наблюдения белого шара найти вероятность того, что была выбрана первая коробка;2026-07-16 00:00:00
PROB_2406_05;theory;bayes;Probability;Bayes;3;Б2: тест на болезнь;По чувствительности, специфичности и prevalence найти P(болен | +);2026-07-16 00:00:00
PROB_2406_06;theory;total_probability;Probability;Conditional;2;Б3: урна без возвращения;Найти вероятность первого белого, второго чёрного и события «первый белый ИЛИ второй чёрный»;2026-07-16 00:00:00
PROB_2406_07;theory;covariance;Dependence;Covariance;2;К4: E[X], E[Y], Cov(X,Y) по таблице;По совместному распределению найти E[X], E[Y], Cov(X,Y) и определить, коррелированы ли X и Y;2026-07-16 00:00:00
PROB_2406_08;theory;variance_properties;Expectation & Variance;Variance;2;К5: Var(2X − Y);По Var(X), Var(Y), Cov(X,Y) найти Var(2X − Y);2026-07-16 00:00:00
PROB_2406_09;theory;variance_properties;Expectation & Variance;Variance;1;К6: Var(3X + 2Y) при независимости;По Var(X), Var(Y) и независимости найти Var(3X + 2Y);2026-07-16 00:00:00
PROB_2406_10;theory;geometric;Distributions;Discrete;1;Ф4: дисперсия геометрического распределения;Записать формулу Var геометрического распределения и посчитать её при p = 0.4;2026-07-16 00:00:00
PROB_2406_11;theory;conditional_probability;Probability;Conditional;1;Ф5: вероятность ложноположительного теста;По специфичности 97% найти вероятность положительного теста для здорового пациента;2026-07-16 00:00:00
PROB_2406_12;theory;exponential_distribution;Distributions;Continuous;2;Ф6: отсутствие памяти у экспоненциального распределения;Объяснить свойство отсутствия памяти и записать его формулой;2026-07-16 00:00:00
PROB_2406_13;theory;sigma_rule;Distributions;Normal Distribution;1;Ф7: правило трёх сигм;Ответить на вопросы про долю внутри μ±2σ, вне μ±3σ и в одном хвосте за μ+2σ;2026-07-16 00:00:00
PROB_2406_14;theory;portfolio_variance;Expectation & Variance;Applications;3;П7: ковариация и дисперсия портфеля;По σA, σB и Corr найти Cov(A,B), Var(P) при заданном w и вес минимальной дисперсии;2026-07-16 00:00:00
STAT_2406_01;statistics;one_sample_test_selection;Parametric Analysis;One Sample Tests;2;Одна выборка: средний рост = 170;По одной выборке n=25 и результату Шапиро–Уилка определить нормальность, выбрать тест для среднего и записать формулу статистики;2026-07-16 00:00:00
STAT_2406_02;statistics;two_independent_test_selection;Parametric Analysis;Two Independent Samples;2;Две независимые группы: равенство конверсий;Для двух независимых групп выбрать тест на равенство конверсий и записать формулу статистики;2026-07-16 00:00:00
STAT_2406_03;statistics;one_sample_test_selection;Parametric Analysis;One Sample Tests;3;Одна выборка: проверка стандартного отклонения;По одной выборке n=30 и результату Шапиро–Уилка определить нормальность, выбрать тест для проверки стандартного отклонения и записать формулу статистики;2026-07-16 00:00:00
STAT_2406_04;statistics;test_selection;Hypothesis Testing;Test Selection;2;Две независимые группы: алгоритм проверки средних;По результатам проверки нормальности описать последовательность выбора теста для сравнения средних двух групп;2026-07-16 00:00:00
STAT_2406_05;statistics;test_selection;Hypothesis Testing;Test Selection;3;Три группы: алгоритм сравнения средних;Для трёх групп при нормальности описать полную последовательность тестов для проверки равенства средних;2026-07-16 00:00:00
STAT_2406_06;statistics;one_sample_test_selection;Parametric Analysis;One Sample Tests;2;Одна выборка: проверка доли брака;Для одной выборки n=100 проверить гипотезу о доле брака 5%, выбрать тест и записать формулу статистики;2026-07-16 00:00:00
STAT_2406_07;statistics;one_sample_test_selection;Parametric Analysis;One Sample Tests;1;Одна выборка: среднее при известной дисперсии;Для одной выборки n=64 выбрать z-тест при известной дисперсии и записать формулу статистики;2026-07-16 00:00:00
SQL_2506_01;sql;anti_join;SQL Core;Joins;1;Пользователи, которые ни разу не запускали код;Из таблиц users и coderun требуется вывести идентификаторы пользователей, которые никогда не отправляли код на выполнение.;2026-07-16 00:00:00
SQL_2506_02;sql;join;SQL Core;Joins;1;Пользователи 2021 года с названием компании;Из таблиц users и company требуется вывести информацию о всех пользователях, которые зарегистрировались в 2021 году: идентификатор пользователя, логин пользователя, дата и время регистрации пользователя, название компании, к которой относится пользователь.;2026-07-16 00:00:00
SQL_2506_03;sql;join;SQL Core;Joins;2;Пользователи, которые запускали и отправляли код на проверку;Из таблиц users, coderun и codesubmit требуется вывести уникальные логины пользователей, которые отправляли код на выполнение, а также отправляли его на проверку. Выведите только тех пользователей, которые зарегистрировались в апреле 2021.;2026-07-16 00:00:00
