pattern;domain;group;subgroup;how_to_identify;when_to_use;interview_priority;loaded_to_db_at;cnt tasks;cnt_bank;in_tree
normal_distribution;theory;Distributions;Continuous;"Нормальное распределение; колокол; среднее и стандартное отклонение.";Когда случайная величина распределена нормально или используется нормальное приближение.;5;2026-07-16 00:00:00;10;4;YES
uniform_distribution;theory;Distributions;Continuous;"Равномерное распределение; случайное значение из интервала.";Когда все значения на интервале равновероятны.;3;2026-07-16 00:00:00;7;4;YES
exponential_distribution;theory;Distributions;Continuous;"Время ожидания; до следующего события; интенсивность процесса.";Когда моделируется время ожидания следующего события в пуассоновском процессе.;4;2026-07-16 00:00:00;16;6;YES
chi_square_distribution;theory;Distributions;Continuous;"χ²-распределение; степени свободы; форма распределения; свойства χ²; связь со статистическими критериями.";Когда необходимо использовать или интерпретировать χ²-распределение, его свойства и применение в статистических критериях.;4;2026-07-16 00:00:00;4;3;YES
t_distribution;theory;Distributions;Continuous;"Маленькая выборка; неизвестна σ; t-распределение; доверительный интервал; t-тест.";Когда необходимо работать с выборочным средним при неизвестной дисперсии генеральной совокупности.;5;2026-07-16 00:00:00;2;3;YES
binomial;theory;Distributions;Discrete;"Несколько независимых испытаний; вероятность ровно k успехов; число успехов.";Когда рассматривается фиксированное число независимых испытаний Бернулли.;5;2026-07-16 00:00:00;7;5;YES
geometric;theory;Distributions;Discrete;"До первого успеха; первое успешное событие; сколько попыток потребуется.";Когда необходимо найти количество испытаний до первого успеха.;4;2026-07-16 00:00:00;9;3;YES
poisson;theory;Distributions;Discrete;"Редкие события; количество событий за час, день, километр и т.п.";Когда моделируется количество редких событий за фиксированный интервал времени или пространства.;5;2026-07-16 00:00:00;9;4;YES
bernoulli;theory;Distributions;Discrete;"Один опыт; успех/неудача; вероятность успеха.";Когда рассматривается одно испытание с двумя возможными исходами.;4;2026-07-16 00:00:00;0;4;YES
distribution_properties;theory;Distributions;Distribution Concepts;"Какое распределение подходит; сравнение распределений; свойства распределений.";Когда требуется сравнить свойства различных распределений или выбрать подходящее распределение.;4;2026-07-16 00:00:00;8;5;YES
distribution_concept;theory;Distributions;Distribution Concepts;"Что такое распределение; вероятность значений; закон распределения.";Когда требуется определить или объяснить понятие распределения случайной величины.;4;2026-07-16 00:00:00;12;2;YES
distribution_identification;theory;Distributions;Distribution Concepts;"Какое распределение использовать; определить распределение по ситуации.";Когда необходимо определить тип распределения по описанию, графику или условиям задачи.;4;2026-07-16 00:00:00;5;4;YES
cdf_interpretation;theory;Distributions;Distribution Functions;"Функция распределения F(x); вероятность меньше заданного значения; накопленная вероятность.";Когда требуется интерпретировать функцию распределения или вычислить вероятность через неё.;4;2026-07-16 00:00:00;2;4;YES
density_interpretation;theory;Distributions;Distribution Functions;В условии встречаются PDF, PMF, плотность вероятности, вероятность отдельного значения, площадь под кривой, вероятность через функцию плотности, вероятность дискретного значения.;Когда требуется интерпретировать функцию плотности вероятности (PDF) или функцию вероятности (PMF), объяснить их смысл или вычислить вероятность по графику/формуле распределения.;3;2026-07-16 00:00:00;4;1;YES
sigma_rule;theory;Distributions;Normal Distribution;"Правило трёх сигм; доля наблюдений в пределах σ, 2σ, 3σ.";Когда используется правило 68–95–99.7 для нормального распределения.;4;2026-07-16 00:00:00;5;1;YES
z_score;theory;Distributions;Normal Distribution;"Z-оценка; стандартизация; таблица нормального распределения.";Когда необходимо стандартизировать значение или найти вероятность по стандартному нормальному распределению.;5;2026-07-16 00:00:00;2;3;YES
portfolio_variance;theory;Expectation & Variance;Applications;"Два или более актива; риск портфеля; ковариация; корреляция.";Когда рассчитывается риск портфеля с учётом дисперсий и корреляции активов.;3;2026-07-16 00:00:00;9;2;YES
expectation;theory;Expectation & Variance;Expectation;"Среднее ожидаемое значение; математическое ожидание; ожидаемый выигрыш.";Когда требуется вычислить математическое ожидание случайной величины.;5;2026-07-16 00:00:00;6;3;YES
law_of_total_expectation;theory;Expectation & Variance;Expectation;"Закон полного математического ожидания; условное ожидание; несколько сценариев.";Когда математическое ожидание вычисляется через разбиение на случаи.;4;2026-07-16 00:00:00;1;6;YES
conditional_expectation;theory;Expectation & Variance;Expectation;"Условное математическое ожидание; E(X|Y).";Когда требуется вычислить математическое ожидание при известном условии.;4;2026-07-16 00:00:00;13;2;YES
chebyshev_inequality;theory;Expectation & Variance;Inequalities;"Неравенство Чебышёва; оценка вероятности; известны только ожидание и дисперсия.";Когда необходимо оценить вероятность отклонения без предположения о распределении.;2;2026-07-16 00:00:00;5;3;YES
expectation_variance;theory;Expectation & Variance;Variance;"Найти E(X) и Var(X); вычислить оба параметра распределения.";Когда необходимо одновременно использовать математическое ожидание и дисперсию.;5;2026-07-16 00:00:00;3;2;YES
variance;theory;Expectation & Variance;Variance;"Разброс; дисперсия; variance.";Когда требуется вычислить дисперсию случайной величины.;5;2026-07-16 00:00:00;3;3;YES
variance_properties;theory;Expectation & Variance;Variance;"Дисперсия суммы; умножение на константу; свойства дисперсии.";Когда применяются свойства дисперсии при преобразовании случайных величин.;4;2026-07-16 00:00:00;5;6;YES
classical_probability;theory;Probability;Basics;"Игральные кости, карты, монеты; ""какова вероятность""; все исходы равновозможны.";Когда требуется вычислить вероятность через отношение числа благоприятных исходов к числу всех равновозможных исходов.;5;2026-07-16 00:00:00;7;4;YES
combinatorics;theory;Probability;Basics;"Сколькими способами; выбрать; переставить; разместить; сочетания; перестановки.";Когда перед вычислением вероятности необходимо посчитать количество возможных комбинаций или размещений.;5;2026-07-16 00:00:00;5;3;YES
bayes;theory;Probability;Bayes;"Найти вероятность причины по известному результату; обратная вероятность; формула Байеса.";Когда необходимо пересчитать вероятность события после получения новой информации.;5;2026-07-16 00:00:00;19;8;YES
multistage_probability;theory;Probability;Bayes;"В условии есть несколько последовательных шагов: сначала выбирают объект, группу, урну, коробку, источник, затем выполняют следующее случайное действие; требуется учитывать дерево вероятностей или разбиение на случаи.";Когда вероятность вычисляется в несколько последовательных этапов, где результат каждого этапа влияет на последующие вероятности или выбор.;3;2026-07-16 00:00:00;4;3;YES
conditional_probability;theory;Probability;Conditional;"""Известно, что...""; вероятность при условии; после того как произошло другое событие.";Когда вероятность события зависит от того, что уже произошло другое событие.;5;2026-07-16 00:00:00;10;3;YES
independence;theory;Probability;Conditional;"Независимые события; одно событие не влияет на другое; проверить независимость.";Когда необходимо определить, являются ли события независимыми, или использовать свойство независимости при расчётах.;5;2026-07-16 00:00:00;6;5;YES
total_probability;theory;Probability;Conditional;"Полная вероятность; несколько сценариев; разбиение на случаи.";Когда событие может произойти несколькими взаимоисключающими способами.;5;2026-07-16 00:00:00;1;6;YES
kendall_correlation;statistics;Correlation;Correlation Mesuares;"Коэффициент τ Кендалла; ранговые данные; небольшая выборка.";Когда требуется оценить ранговую корреляцию на небольших выборках или при большом числе совпадающих рангов.;3;2026-07-16 00:00:00;3;3;YES
welch_test;statistics;Parametric Analysis;Two Independent Samples;"Две группы; нормальность соблюдается; дисперсии различаются.";Когда сравниваются средние двух независимых групп при неравенстве дисперсий.;5;2026-07-16 00:00:00;3;3;YES
repeated_measures_anova;statistics;Parametric Analysis;Multiple Paired Groups;"Повторные измерения; одни и те же участники; repeated measures ANOVA";Когда сравниваются средние трех и более зависимых выборок при выполнении предпосылок параметрических тестов.;4;2026-07-16 00:00:00;3;3;YES
bartlett_test;statistics;Assumption Tests;Homogeneity of Variance;"Проверка гомогенности дисперсий; несколько групп; предпосылки ANOVA.";Когда необходимо проверить равенство дисперсий нескольких групп.;3;2026-07-16 00:00:00;3;3;YES
cochran_q_test;statistics;Categorical Analysis;Paired Categorical Tests;"Несколько связанных бинарных измерений; критерий Q Кохрена.";Когда сравниваются три и более зависимые бинарные выборки.;3;2026-07-16 00:00:00;3;3;YES
kruskal_wallis_test;statistics;Nonparametric Analysis;Multiple Independent Groups;Несколько независимых групп, ненормальные данные.;Сравнение трёх и более независимых выборок при нарушении нормальности.;5;2026-07-16 00:00:00;3;3;YES
friedman_test;statistics;Nonparametric Analysis;Multiple Paired Groups;"Повторные измерения; несколько зависимых выборок; критерий Фридмана.";Когда сравниваются три и более зависимые выборки при нарушении нормальности.;4;2026-07-16 00:00:00;3;3;YES
sign_test;statistics;Nonparametric Analysis;Paired Samples;"G-критерий; критерий знаков; анализ только направления изменения.";Когда необходимо сравнить две зависимые выборки, используя только знак изменения без учета величины различий.;2;2026-07-16 00:00:00;3;3;YES
point_estimation;statistics;Estimation;Point Estimation;Нужно оценить среднее, вероятность или другой параметр выборкой.;Когда требуется оценить неизвестный параметр одним числом.;5;2026-07-16 00:00:00;2;3;YES
two_sample_t_test;statistics;Parametric Analysis;Two Independent Samples;"Две независимые группы; сравнение средних; классический t-тест.";Когда сравниваются средние двух независимых выборок при выполнении предпосылок.;5;2026-07-16 00:00:00;2;3;YES
alexander_govern_test;statistics;Parametric Analysis;Multiple Independent Groups;"Более двух групп; неодинаковые дисперсии; альтернатива классической ANOVA.";Когда сравниваются несколько групп при нарушении предпосылки равенства дисперсий.;1;2026-07-16 00:00:00;2;3;YES
dunnett_test;statistics;Parametric Analysis;Post-hoc Tests;"Есть контрольная группа; сравнение ""каждая против контроля"".";Когда необходимо сравнить несколько групп только с одной контрольной группой.;2;2026-07-16 00:00:00;2;3;YES
fisher_f_test;statistics;Assumption Tests;Homogeneity of Variance;"F-критерий Фишера; сравнение дисперсий двух выборок; нормальность распределения; отношение дисперсий; предпосылки t-теста.";Когда необходимо проверить равенство дисперсий двух нормально распределённых выборок перед выбором параметрического теста.;4;2026-07-16 00:00:00;2;3;YES
levene_test;statistics;Assumption Tests;Homogeneity of Variance;"Проверка гомогенности дисперсий; сравнение нескольких групп; выбор между классическим t-тестом, Welch или ANOVA.";Когда необходимо проверить равенство дисперсий перед выбором параметрического теста.;5;2026-07-16 00:00:00;2;3;YES
outliers;statistics;Descriptive Statistics;Z-score For Outliers;"В условии есть аномальные наблюдения; требуется определить выбросы или решить, как их обработать.";Когда необходимо обнаружить или оценить влияние выбросов.;5;2026-07-16 00:00:00;1;4;YES
effect_size;statistics;Hypothesis Testing;Decision Making;Требуется оценить силу эффекта, а не только статистическую значимость.;Когда необходимо оценить практическую значимость различий.;4;2026-07-16 00:00:00;1;5;YES
chi_square_goodness_of_fit;statistics;Categorical Analysis;Goodness of Fit;"Проверка соответствия ожидаемому распределению; критерий согласия χ².";Когда необходимо проверить соответствие наблюдаемого распределения ожидаемому.;4;2026-07-16 00:00:00;1;3;YES
dunn_test;statistics;Nonparametric Analysis;Post-hoc Tests;"После Kruskal–Wallis; попарные сравнения между группами; критерий Данна; часто совместно с поправкой Бонферрони или Holm.";Когда после значимого результата критерия Краскела—Уоллиса необходимо определить, какие именно группы отличаются между собой.;4;2026-07-16 00:00:00;1;3;YES
scheffe_test;statistics;Parametric Analysis;Post-hoc Tests;"Scheffé; post-hoc; ANOVA; множественные сравнения; все попарные сравнения; контроль ошибки I рода.";Когда после значимого результата ANOVA необходимо выполнить попарные сравнения всех групп с контролем семейной вероятности ошибки, особенно если сравнения не были заранее запланированы.;;2026-07-16 00:00:00;1;3;YES
binomial_test;statistics;Parametric Analysis;One Sample Tests;Когда требуется проверить гипотезу о вероятности успеха для одной бинарной выборки с использованием точного биномиального распределения. Обычно применяется при небольшом объёме выборки или нарушении условий нормального приближения.;"Честная монета; вероятность успеха; число успехов из n испытаний; одна бинарная выборка; малый объём выборки; exact binomial test; проверка гипотезы о доле без нормального приближения.";;2026-07-16 00:00:00;1;3;YES
categorical_descriptive_statistics;statistics;Categorical Analysis;Descriptive Statistics;"Частоты; доли; таблицы сопряженности; категориальные признаки.";Когда требуется описать категориальные данные.;4;2026-07-16 00:00:00;0;3;YES
z_score_interpretation;statistics;Descriptive Statistics;Z-score For Outliers;"Нужно интерпретировать Z-score; определить выброс или необычное значение.";Когда необходимо оценить, насколько наблюдение отличается от среднего.;4;2026-07-16 00:00:00;0;3;YES
kolmogorov_smirnov_test;statistics;Assumption Tests;Normality;Нужно проверить различие формы распределений, а не только средних/медиан.;Сравнение распределений или проверка соответствия распределению.;3;2026-07-16 00:00:00;0;3;YES
anderson_darling_test;statistics;Assumption Tests;Normality;Вопросы про альтернативы Шапиро–Уилка или анализ хвостов распределения.;Проверка нормальности с высокой чувствительностью к хвостам распределения.;2;2026-07-16 00:00:00;0;3;YES
fligner_killeen;statistics;Assumption Tests;Homogeneity of Variance;"Робастная проверка дисперсий; несколько групп; ненормальные данные; альтернатива Levene и Bartlett; Fligner–Killeen.";Когда необходимо проверить равенство дисперсий нескольких групп без предположения о нормальности распределения.;;2026-07-16 00:00:00;0;3;YES
union_vs_union_all;sql;SQL Theory;Set Operations;"Объединение результатов нескольких запросов; сравнение UNION и UNION ALL; удаление или сохранение дубликатов; производительность операций объединения.";Когда необходимо выбрать между UNION и UNION ALL или объяснить различия их работы и влияния на производительность.;;;1;3;YES
cte_subquery;sql;SQL Theory;Query Structure;"Подзапросы, CTE (WITH), коррелированные подзапросы; сравнение способов организации промежуточных вычислений; повторное использование результатов запроса.";Когда необходимо использовать или выбрать между подзапросом, коррелированным подзапросом и CTE, либо объяснить различия между этими подходами.;;;2;3;YES
funnel;sql;Product Analytics;Funnel Analysis;"Последовательность этапов пользовательского пути; расчёт количества пользователей на каждом шаге; конверсии между этапами; анализ прохождения воронки.";Когда необходимо построить воронку, посчитать конверсии между этапами или проанализировать потери пользователей на каждом шаге.;;;1;4;YES
data_modification;sql;Data Handling;Data Modification;"UPDATE, DELETE, INSERT; изменение существующих данных; удаление строк; массовое обновление; условное обновление; операции модификации данных.";Когда необходимо изменить содержимое таблицы с помощью операторов UPDATE, DELETE или INSERT, используя условия, подзапросы или другие конструкции SQL.;;;4;4;YES
database_normalization;sql;SQL Theory;Data Modeling;"Нормализация; 1NF, 2NF, 3NF; избыточность данных; аномалии вставки, обновления и удаления; денормализация; повторяющиеся группы; проектирование таблиц.";Когда необходимо объяснить принципы нормализации базы данных, определить нарушения нормальных форм или привести пример нормализованной/ненормализованной структуры данных.;;;1;3;YES
transactions_acid;sql;SQL Theory;Transactions;"Транзакции; ACID; COMMIT; ROLLBACK; атомарность; согласованность; изолированность; долговечность; управление транзакциями.";Когда необходимо объяснить принципы работы транзакций, свойства ACID, назначение COMMIT и ROLLBACK или гарантии целостности данных при выполнении нескольких операций.;;;1;3;YES
